investor_name,score,distance,investments,neighbors
ClearSky,0.2466220507260933,1,68,<generator object Runner.run.<locals>.<genexpr> at 0x11dc989e0>
CoinFund,0.1453713085746065,1,72,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98a50>
Creandum,0.18838641246507135,1,188,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98ac0>
DBS Bank,0.13225770006205126,1,21,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98b30>
Dell EMC,0.26232895854242666,1,30,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98ba0>
ESO Fund,0.27307314791369874,1,75,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98c10>
Elad Gil,1.0,0,116,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98c80>
Eldridge,0.1678780354221495,1,63,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98cf0>
Ethos VC,0.1768852523989194,1,18,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98d60>
Eurofund,0.14162821180463306,1,20,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98dd0>
Fidelity,0.27546417085872515,1,129,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98e40>
Fundinno,0.018627018271523764,2,81,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98eb0>
Gaingels,0.15025165760203396,1,344,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98f20>
Georgian,0.23278421892897672,1,103,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98f90>
Goldcorp,0.0321369409214007,2,11,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99000>
Greylock,1.0,0,774,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99070>
Group 11,0.30810142000730817,1,82,<generator object Runner.run.<locals>.<genexpr> at 0x11dc990e0>
Headline,0.2547279256260021,1,386,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99150>
Illumina,0.18306260564826174,1,16,<generator object Runner.run.<locals>.<genexpr> at 0x11dc991c0>
In-Q-Tel,0.30198642832607336,1,242,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99230>
Kartesia,0.04889051203128792,2,25,<generator object Runner.run.<locals>.<genexpr> at 0x11dc992a0>
Lakestar,0.2727453627654983,1,130,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99310>
Latitude,0.21674440800804848,1,39,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99380>
